NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
169500,2016-9-30 11:35,梅姬颱風,路基流失,120.45384,24.135747,彰化縣,線西鄉,彰化縣線西鄉中華路477巷,線西鄉中華路477巷旁道路塌陷，待搶處理,1000704
169507,2016-9-30 11:31,梅姬颱風,邊坡坍方,120.470991,24.13097,彰化縣,線西鄉,彰化縣線西鄉中央路2段45號,551564654,1000704
169508,2016-9-30 11:27,梅姬颱風,邊坡坍方,120.429524,24.064443,彰化縣,鹿港鎮,彰化縣鹿港鎮東石里台17線51k處,颱風豪雨不斷，導致彰化縣東石里台17線51k處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000702
169511,2016-9-30 11:24,梅姬颱風,邊坡坍方,120.500471,23.850287,彰化縣,溪州鄉,彰化縣溪州鄉尾厝村溪下路,"颱風豪雨不斷,導致溪州鄉尾厝村溪下路一段150號邊坡土石坍方,交通中斷,目前已派員進行搶修中.",1000726
169513,2016-9-30 11:13,梅姬颱風,邊坡坍方,120.425182,23.862773,彰化縣,竹塘鄉,彰化縣竹塘鄉竹塘村,"颱風豪雨不斷,導致竹塘市中心台19線51處邊坡土石坍方,交通中斷,目前已派員進行搶修中",1000725
169519,2016-9-30 10:57,梅姬颱風,邊坡坍方,120.535509,23.918313,彰化縣,永靖鄉,彰化縣永靖鄉台3線51K處,颱風豪雨不斷．導致台3線51K處邊坡土石坍方，交通中斷，目前已派員進行搶修中,1000716
169522,2016-9-30 10:54,梅姬颱風,邊坡坍方,120.471987,23.984217,彰化縣,埔鹽鄉,彰化縣埔鹽鄉角樹村2鄰員鹿路一段30號,颱風豪雨不斷，導致角樹村員鹿路台線51K處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000714
169524,2016-9-30 10:47,梅姬颱風,邊坡坍方,120.611511,23.904779,彰化縣,社頭鄉,彰化縣社頭鄉山腳路二段150號,颱風豪雨不斷．導致彰化縣社頭鄉山腳路二段150號邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000717
169525,2016-9-30 10:43,梅姬颱風,邊坡坍方,120.590841,23.956624,彰化縣,員林市,彰化縣員林市,颱風豪雨不斷，導致彰化市員林區台一線51k處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000710
169535,2016-9-30 10:36,梅姬颱風,邊坡坍方,120.32091,23.852335,彰化縣,大城鄉,彰化縣大城鄉中平路185號,颱風豪雨不斷．導致大城台11線51K處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000724
169551,2016-9-30 10:14,梅姬颱風,邊坡坍方,120.582666,23.996561,彰化縣,大村鄉,彰化縣大村鄉平和村山腳路75號,颱風豪雨不斷，導致大村鄉平和村山腳路137線51K處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000713
169553,2016-9-30 10:13,梅姬颱風,邊坡坍方,120.34677,23.964843,彰化縣,芳苑鄉,彰化縣芳苑鄉王功村3鄰芳漢路532之4號,颱風豪雨不斷，溪水暴漲，造成彰化縣芳苑鄉台17線51k處邊土石坍方。交通中斷，目前已派員進行搶修中。,1000723
169555,2016-9-30 10:12,梅姬颱風,邊坡坍方,120.536704,23.955908,彰化縣,埔心鄉,彰化縣埔心鄉,颱風豪雨不斷．導致彰化縣埔心鄉泗湳路382號處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000715
169379,2016-9-30 10:09,梅姬颱風,邊坡坍方,120.371958,23.899526,彰化縣,二林鎮,彰化縣二林鎮斗苑路,颱風豪雨不斷．導致彰化縣二林鎮斗苑路邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000720
169385,2016-9-30 10:02,梅姬颱風,邊坡坍方,120.634464,24.004768,彰化縣,芬園鄉,彰化縣芬園鄉縣庄村,颱風豪雨不斷．導致進芬村(台14線丁往縣庄1km處)處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000709
169392,2016-9-30 09:50,梅姬颱風,邊坡坍方,120.416438,23.852471,彰化縣,竹塘鄉,彰化縣竹塘鄉土庫村,"颱風豪雨不斷,導致竹塘市中心台19線51k處邊坡土石坶方,交通中斷,目前已派員進行搶修中",1000725
169400,2016-9-30 09:20,梅姬颱風,道路阻斷,120.531398,24.057607,彰化縣,彰化市,彰化縣彰化市南興街121巷25弄118號,有落石,1000701
169401,2016-9-30 09:20,梅姬颱風,道路阻斷,120.540108,24.044821,彰化縣,花壇鄉,彰化縣花壇鄉宮口巷112號,有落石,1000708
169563,2016-9-30 09:20,梅姬颱風,土石崩落,120.578041,23.973548,彰化縣,員林市,彰化縣員林鎮三愛里,山坡土石掉落，道路單向通車已派員前往處理====================招牌掉落阻礙道路交通。已派員前往處理,1000710
169564,2016-9-30 09:20,梅姬颱風,道路阻斷,120.531398,24.057607,彰化縣,彰化市,彰化縣彰化市南興街121巷25弄118號,有落石已派員前往處理====================有落石已派員前往處理,1000701
168507,2016-9-29 16:35,梅姬颱風,路基流失,120.37347,22.739624,高雄市,大社區,高雄市大社區保安里大社路401巷,保安里林義萬里長、區公所民政課蘇振華課長通報，本區保安里大社路401巷過陽光大地往嘉誠里方向約300公尺，路基淘空有破洞，請權管單位儘速派員排除。,6401600
