NID,Time,EventName,DisasterType,DisasterSubType,Lon,Lat,C_Name,T_Name,situation
162733,2016-9-28 23:58,梅姬颱風,民生、基礎設施災情,電力停電,120.280564,22.797001,高雄市,岡山區  ,停電
162734,2016-9-28 23:58,梅姬颱風,民生、基礎設施災情,電力停電,120.280564,22.797001,高雄市,岡山區  ,停電
162735,2016-9-28 23:58,梅姬颱風,民生、基礎設施災情,電力停電,120.280564,22.797001,高雄市,岡山區  ,停電
162736,2016-9-28 23:58,梅姬颱風,民生、基礎設施災情,電力停電,120.280564,22.797001,高雄市,岡山區  ,停電
162737,2016-9-28 23:58,梅姬颱風,民生、基礎設施災情,電力停電,120.280564,22.797001,高雄市,岡山區  ,停電
162738,2016-9-28 23:58,梅姬颱風,民生、基礎設施災情,電力停電,120.280564,22.797001,高雄市,岡山區  ,停電
162739,2016-9-28 23:58,梅姬颱風,民生、基礎設施災情,電力停電,120.280564,22.797001,高雄市,岡山區  ,停電
162743,2016-9-28 23:52,梅姬颱風,民生、基礎設施災情,電力停電,120.629805,24.239529,臺中市,大雅區  , (停電)
162744,2016-9-28 23:51,梅姬颱風,民生、基礎設施災情,電力停電,121.56063,24.95404,新北市,新店區  ,新店區北宜路二段266巷2號，該處有大範圍停電，要求相關單位儘速前往處理，請相關單位妥處。
162745,2016-9-28 23:38,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.604421,24.333979,臺中市,大甲區  , 電線桿冒煙
162746,2016-9-28 23:08,梅姬颱風,民生、基礎設施災情,電力停電,120.627151,24.079308,臺中市,烏日區  ,已連續停電2天，請儘速派員修復供電
162748,2016-9-28 23:03,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.309383,22.673117,高雄市,左營區  ,高雄市左營區菜公里崇德路與文強路口有懸空的電線
162749,2016-9-28 23:03,梅姬颱風,民生、基礎設施災情,電力停電,120.58998,23.979727,彰化縣,員林市  ,員林市東南路沿路停電
162755,2016-9-28 22:44,梅姬颱風,民生、基礎設施災情,電線（桿）毀損,120.570683,24.254641,臺中市,沙鹿區  ,里長通報：星河路610.521號一帶無電
162758,2016-9-28 22:39,梅姬颱風,民生、基礎設施災情,電力停電,120.438047,24.05647,彰化縣,鹿港鎮  ,鹿港鎮鹿東路富麗大鎮全區停電
162759,2016-9-28 22:37,梅姬颱風,民生、基礎設施災情,電力停電,120.498353,24.158269,彰化縣,伸港鄉  ,伸港鄉定興村彰新路7段464巷全興工業區旁停電
162760,2016-9-28 22:35,梅姬颱風,民生、基礎設施災情,電力停電,120.420404,23.956164,彰化縣,二林鎮  ,二林鎮振興里停電
162762,2016-9-28 22:29,梅姬颱風,民生、基礎設施災情,電力停電,120.651531,24.048537,臺中市,烏日區  ,溪南路3段418巷停電
