NID,Time,EventName,DisasterType,DisasterSubType,Coordinate,Lon,Lat,C_Name,T_Name,Address,situation,DeathNo,MissingNo,InjuredNo,TrappedNo,ShelterNo,CaseStatus,GeometryType,SourceType,CaseInformer,nTWD97_X,nTWD97_Y,WriteDateTime
168510,2016-9-29 16:27,梅姬颱風,土石災情,土石流,"120.48527,23.322312",120.48527,23.322312,臺南市,白河區  ,臺南市白河區關嶺里175線3.6公里處,175線3.6公里處土石崩落  目前單線通行,0,0,0,0,0,待處理,點,災情查報WEB,,197359.48,2580068.02,42642.94028
168752,2016-9-29 10:32,梅姬颱風,土石災情,土石崩落,"120.5376148223877,23.04557687273174",120.537615,23.045577,高雄市,杉林區  ,高雄市杉林區木梓里,土石崩塌阻塞野溪損及農田(已通知本所開口合約廠商處理),0,0,0,0,0,處理中,點,災情查報WEB,,202615.41,2549404.85,42642.94097
162703,2016-9-29 08:11,梅姬颱風,土石災情,土石崩落,"120.64356,22.437091",120.64356,22.437091,屏東縣,來義鄉  ,屏東縣來義鄉南和村牌樓前,南和村牌樓前道路(屏115線)土石坍方其中有樹木壓到電線,0,0,0,0,0,待處理,點,災情查報WEB,,213310.6,2481996.32,42642.41667
163047,2016-9-28 18:59,梅姬颱風,土石災情,土石流,"120.447549,22.84274",120.447549,22.84274,高雄市,旗山區  ,高雄市旗山區新光里大洲國中,新光里大洲國中後方土石流淹水30CM,0,0,0,0,0,處理中,點,災情查報WEB,,193300.98,2526975.55,42642.41736
163402,2016-9-28 17:30,梅姬颱風,土石災情,土石崩落,"120.465764,22.84847",120.465764,22.84847,高雄市,旗山區  ,高雄市旗山區中寮一路,中寮一路過公墓路段及崑山路段有崩落石塊,0,0,0,0,0,待處理,點,災情查報WEB,,195172.75,2527603.18,42642.41875
163636,2016-9-28 16:43,梅姬颱風,土石災情,土石崩落,"120.250931841388,23.0289154134254",120.250932,23.028915,臺南市,永康區  ,臺南市永康區復華6街,土坡崩落之路上也路樹倒塌,0,0,0,0,0,處理中,點,災情查報WEB,,173226.15,2547681.35,42642.41944
164033,2016-9-28 15:40,梅姬颱風,土石災情,土石崩落,"120.472652,22.873778",120.472652,22.873778,高雄市,旗山區  ,高雄市旗山區三協里武鹿坑28號,三協里武鹿坑28號附近磚牆倒落路面、大坑巷20號土石滑落，阻礙交通，大坑巷7號土石滑落，雨水流入民宅,0,0,0,0,0,已處理,點,災情查報WEB,,195889.68,2530403.1,42642.42222
164356,2016-9-28 15:02,梅姬颱風,土石災情,土石崩落,"121.067656,24.669005",121.067656,24.669005,新竹縣,北埔鄉  ,新竹縣北埔鄉外坪村觀音仙水前一百公尺處,落石,0,0,0,0,0,未指派,點,災情查報WEB,,256847.38,2729118.46,42642.42431
164427,2016-9-28 14:53,梅姬颱風,土石災情,土石崩落,"120.461412,22.81395",120.461412,22.81395,高雄市,旗山區  ,高雄市旗山區南勝里,旗山區南勝里台29線南下路段土牆崩塌，阻礙南下車道,0,0,0,0,0,已處理,點,災情查報WEB,,194712.16,2523782.26,42642.425
164503,2016-9-28 14:43,梅姬颱風,土石災情,土石崩落,"120.66812742564,23.0021107476767",120.668127,23.002111,高雄市,六龜區  ,高雄市六龜區,土石崩落，公路無法通行，28日早上有見到怪手在處理，想詢問目前能否通行，請回覆蕭先生(0929095241),0,0,0,0,0,待處理,點,災情查報WEB,,215979.39,2544555.36,42642.425
164568,2016-9-28 14:33,梅姬颱風,土石災情,土石崩落,"121.063023,24.688423",121.063023,24.688423,新竹縣,北埔鄉  ,新竹縣北埔鄉大林村8鄰二寮神木往大湖路段竹39-1,土石崩塌及樹木傾倒,0,0,0,0,0,未指派,點,災情查報WEB,,256377.49,2731268.92,42642.42569
164762,2016-9-28 14:10,梅姬颱風,土石災情,土石流,"120.473232,22.849639",120.473232,22.849639,高雄市,旗山區  ,高雄市旗山區大山里,大山里中寮一路二四之一號清水祖師爺後土石流，大山街68號淹水，大山街42號前樹倒,0,0,0,0,0,處理中,點,災情查報WEB,,195939.65,2527729.87,42642.42708
165163,2016-9-28 13:27,梅姬颱風,土石災情,土石崩落,"121.74748420715332,24.423780055639345",121.747484,24.42378,宜蘭縣,南澳鄉  ,宜蘭縣南澳鄉金洋村,土石崩落,0,0,0,0,0,已處理,點,災情查報WEB,,325800.55,2702161.31,42642.43056
165236,2016-9-28 13:21,梅姬颱風,土石災情,土石崩落,"121.78117275238037,24.48197363055402",121.781173,24.481974,宜蘭縣,南澳鄉  ,宜蘭縣南澳鄉金岳村,有落石及路樹倒塌,0,0,0,0,0,已處理,點,災情查報WEB,,329180.59,2708625.71,42642.43125
165344,2016-9-28 13:09,梅姬颱風,土石災情,土石崩落,"120.517392,23.356984",120.517392,23.356984,嘉義縣,中埔鄉  ,嘉義縣中埔鄉三層村105號,土石崩落交通受阻停電,0,0,0,0,0,處理中,點,災情查報WEB,,200657.41,2583896.29,42642.43264
